road	Z1812
km	10.738
type	Baily with Steel Deck
lrpName	LRP012c
name	BRICK FIELD
length	30
condition	C
structureNr	103007
est cost	0.38
roadName	Chimbuk-Ruma Road
chainage	10.738
width	3.5
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.06775
lon	92.3055
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103007&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103007&vRoadID=353&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103007&vRoadID=353&vSurveyYear=2004&vSubdivID=285
