road	Z1812
km	10.891
type	Truss with Steel Deck
lrpName	LRP012e
name	Batchara Bridge-3
length	61.3
condition	A
structureNr	121748
est cost	0.262
roadName	Chimbuk-Ruma Road
chainage	10.891
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.06772870903226
lon	92.30436308967742
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121748&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121748&vRoadID=353&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121748&vRoadID=353&vSurveyYear=2013&vSubdivID=285
