road	N706
km	2.855
type	Slab Culvert
lrpName	LRP002b
name	.
length	4.2
condition	C
structureNr	104353
est cost	5.3
roadName	Jessore (Daratana More)-Benapole Road
chainage	2.855
width	18
constructionYear	2002
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-1
lat	23.144444444444446
lon	89.19722222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104353&vRoadID=55&vSurveyYear=2004&vSubdivID=323
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104353&vRoadID=55&vSurveyYear=2004&vSubdivID=323
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104353&vRoadID=55&vSurveyYear=2004&vSubdivID=323
