road	Z2823
km	0.862
type	Steel Beam & RCC Slab
lrpName	LRPSd
name	Bhabanipur Bridge
length	10.35
condition	C
structureNr	121731
est cost	103.5
roadName	Kulaura-Juri-Fultala Road
chainage	0.862
width	
constructionYear	
spans	
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.5871663 
lon	92.1167771 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121731&vRoadID=439&vSurveyYear=2013&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121731&vRoadID=439&vSurveyYear=2013&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121731&vRoadID=439&vSurveyYear=2013&vSubdivID=553
