road	N4
km	136.731
type	Box Culvert
lrpName	LRP135d
name	TEETHPOLA
length	3
condition	A
structureNr	107183
est cost	0
roadName	Joydebpur-Tangail-Jamalpur Road
chainage	136.731
width	10.9
constructionYear	1992
spans	1
zone	Mymensingh
circle	Jamalpur
division	Jamalpur
sub-division	Jamalpur-1
lat	24.844694444444443
lon	89.94094444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107183&vRoadID=23&vSurveyYear=2004&vSubdivID=524
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107183&vRoadID=23&vSurveyYear=2004&vSubdivID=524
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107183&vRoadID=23&vSurveyYear=2004&vSubdivID=524
