road	Z1013
km	0.39
type	Truss with Steel Deck
lrpName	LRPsd
name	Kamar Khal Bridge
length	30.5
condition	A
structureNr	121560
est cost	0.05
roadName	Tonkabati-Baro Aulia Road
chainage	0.39
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.001186884130984
lon	92.23578478010076
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121560&vRoadID=357&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121560&vRoadID=357&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121560&vRoadID=357&vSurveyYear=2013&vSubdivID=286
