road	R360
km	35.687
type	Box Culvert
lrpName	LRP035c
name	ATOCHORA BOX CULVERT
length	1.5
condition	B
structureNr	104604
est cost	0.4
roadName	Mymensingh (Raghurampur)-Kishoreganj (Battali)-Bhairab (Bazar) Road
chainage	35.687
width	10.25
constructionYear	1965
spans	1
zone	Mymensingh
circle	Mymensingh
division	Kishoreganj
sub-division	Nandail
lat	24.580222222222222
lon	90.63697222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104604&vRoadID=113&vSurveyYear=2004&vSubdivID=528
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104604&vRoadID=113&vSurveyYear=2004&vSubdivID=528
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104604&vRoadID=113&vSurveyYear=2004&vSubdivID=528
