road	N105
km	0.024
type	Box Culvert
lrpName	LRPSa
name	MODONPUR
length	12.8
condition	C
structureNr	107905
est cost	1.8
roadName	Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4)
chainage	0.024
width	30.6
constructionYear	2000
spans	2
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Vitikandi
lat	23.690666666666665
lon	90.54675
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107905&vRoadID=5&vSurveyYear=2004&vSubdivID=521
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107905&vRoadID=5&vSurveyYear=2004&vSubdivID=521
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107905&vRoadID=5&vSurveyYear=2004&vSubdivID=521
