road	Z1070
km	2.838
type	Box Culvert
lrpName	LRP002h
name	HARIHAL
length	0.8
condition	A
structureNr	111650
est cost	0
roadName	Patiya (Moneswartek)-Anowara (Kasturighat) Road
chainage	2.838
width	5.5
constructionYear	1998
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.295861111111112
lon	91.29597222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111650&vRoadID=320&vSurveyYear=2004&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111650&vRoadID=320&vSurveyYear=2004&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111650&vRoadID=320&vSurveyYear=2004&vSubdivID=281
