road	R180
km	1.604
type	Slab Culvert
lrpName	LRP001e
name	ALIR JAHAL
length	2
condition	C
structureNr	114344
est cost	0
roadName	Laharpur-Jhinukmarket-Laboni More Road
chainage	1.604
width	12.3
constructionYear	1968
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.43852777777778
lon	91.99511111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114344&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114344&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114344&vRoadID=89&vSurveyYear=2004&vSubdivID=282
