road	R180
km	2.63
type	Box Culvert
lrpName	LRP002c
name	Barmiss Market
length	4.5
condition	B
structureNr	114349
est cost	0.4
roadName	Laharpur-Jhinukmarket-Laboni More Road
chainage	2.63
width	14.3
constructionYear	1968
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.441111111111113
lon	91.98672222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114349&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114349&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114349&vRoadID=89&vSurveyYear=2004&vSubdivID=282
