road	R180
km	0.53
type	Box Culvert
lrpName	LRPSb
name	LAHARPARA STAND[1]
length	1.5
condition	B
structureNr	114308
est cost	0.06
roadName	Laharpur-Jhinukmarket-Laboni More Road
chainage	0.53
width	9.25
constructionYear	1982
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.430111111111113
lon	92.0021111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114308&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114308&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114308&vRoadID=89&vSurveyYear=2004&vSubdivID=282
