road	Z5552
km	0.986
type	Slab Culvert
lrpName	LRPSh
name	.
length	1.5
condition	B
structureNr	111082
est cost	0.01
roadName	Gaibandha-Phulchhari-Varathkhali-Saghata Road
chainage	0.986
width	5.7
constructionYear	1991
spans	1
zone	Rangpur
circle	Bogra
division	Gaibanda
sub-division	Gaibanda
lat	25.322222222222223
lon	89.54888888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=111082&vRoadID=610&vSurveyYear=2004&vSubdivID=294
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=111082&vRoadID=610&vSurveyYear=2004&vSubdivID=294
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=111082&vRoadID=610&vSurveyYear=2004&vSubdivID=294
