road	N102
km	51.794
type	Box Culvert
lrpName	LRP051b
name	TNLLAK BOX CULVERT
length	19
condition	B
structureNr	101304
est cost	0.82
roadName	Comilla (Mainamati)-Brahmanbaria (Sarail) Road
chainage	51.794
width	8.3
constructionYear	1964
spans	3
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	23.800666666666668
lon	91.15016666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101304&vRoadID=2&vSurveyYear=2004&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101304&vRoadID=2&vSurveyYear=2004&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101304&vRoadID=2&vSurveyYear=2004&vSubdivID=540
