road	N102
km	0.984
type	Box Culvert
lrpName	LRPSc
name	PORISPUR BOX CULVERT
length	3
condition	A
structureNr	101312
est cost	0
roadName	Comilla (Mainamati)-Brahmanbaria (Sarail) Road
chainage	0.984
width	9.7
constructionYear	1988
spans	1
zone	Comilla
circle	Comilla
division	Comilla
sub-division	Gouripur
lat	23.486527777777777
lon	91.1133611111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101312&vRoadID=2&vSurveyYear=2004&vSubdivID=544
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101312&vRoadID=2&vSurveyYear=2004&vSubdivID=544
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101312&vRoadID=2&vSurveyYear=2004&vSubdivID=544
