road	R114
km	44.855
type	Slab Culvert
lrpName	LRP045g
name	HATAVANGA CULVERT
length	1
condition	A
structureNr	105318
est cost	0
roadName	Nayapur-Araihazar-Narsingdi-Raipura Road
chainage	44.855
width	4.2
constructionYear	1992
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.969666666666665
lon	90.8158611111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105318&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105318&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105318&vRoadID=71&vSurveyYear=2004&vSubdivID=522
