road	R114
km	39.59
type	Box Culvert
lrpName	LRP040d
name	PURBO HASRA BAD SUBMORGE
length	1
condition	A
structureNr	105332
est cost	0
roadName	Nayapur-Araihazar-Narsingdi-Raipura Road
chainage	39.59
width	7.4
constructionYear	1995
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.935305555555555
lon	90.80255555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105332&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105332&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105332&vRoadID=71&vSurveyYear=2004&vSubdivID=522
