road	Z3712
km	0.586
type	Slab Culvert
lrpName	LRPSc
name	SAHPARA
length	1
condition	C
structureNr	107726
est cost	0.3
roadName	Haluaghat-Munshirhat-Dhobaura Road
chainage	0.586
width	6
constructionYear	1980
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Phulpur
lat	25.122333333333334
lon	90.34424999999999
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107726&vRoadID=241&vSurveyYear=2004&vSubdivID=531
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107726&vRoadID=241&vSurveyYear=2004&vSubdivID=531
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107726&vRoadID=241&vSurveyYear=2004&vSubdivID=531
