road	R546
km	0.059
type	Steel Beam & RCC Slab
lrpName	LRPSa
name	.
length	14.02
condition	D
structureNr	100087
est cost	36
roadName	Railgarte-Shantahar Road
chainage	0.059
width	4.9
constructionYear	1963
spans	2
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Bogra
lat	24.80666666666667
lon	88.9786111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100087&vRoadID=125&vSurveyYear=2004&vSubdivID=291
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100087&vRoadID=125&vSurveyYear=2004&vSubdivID=291
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100087&vRoadID=125&vSurveyYear=2004&vSubdivID=291
