road	Z1619
km	15.48
type	RCC Girder Bridge
lrpName	LRP015a
name	Ahmodia Bridge
length	9.96
condition	A
structureNr	121314
est cost	0.05
roadName	Raozan (Gohira)-Fatikchhari Road
chainage	15.48
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.6431386 
lon	91.8395274 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121314&vRoadID=305&vSurveyYear=2013&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121314&vRoadID=305&vSurveyYear=2013&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121314&vRoadID=305&vSurveyYear=2013&vSubdivID=270
