road	N703
km	0.508
type	RCC Girder Bridge
lrpName	LRPSd
name	.
length	134.45
condition	B
structureNr	110586
est cost	0.35
roadName	Jhenaidah Town Old Section
chainage	0.508
width	6.2
constructionYear	1978
spans	8
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.54416666666667
lon	89.18583333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110586&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110586&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110586&vRoadID=52&vSurveyYear=2004&vSubdivID=326
