road	N507
km	39.924
type	Box Culvert
lrpName	LRP040c
name	.
length	3.46
condition	A
structureNr	101886
est cost	0
roadName	Hatikamrul-Banpara Road
chainage	39.924
width	23.06
constructionYear	2000
spans	1
zone	Rajshahi
circle	Pabna
division	Natore
sub-division	Natore-1
lat	24.322222222222223
lon	89.17972222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101886&vRoadID=35&vSurveyYear=2004&vSubdivID=315
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101886&vRoadID=35&vSurveyYear=2004&vSubdivID=315
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101886&vRoadID=35&vSurveyYear=2004&vSubdivID=315
