road	N507
km	14.798
type	Box Culvert
lrpName	LRP015e
name	.
length	13.5
condition	A
structureNr	101604
est cost	0
roadName	Hatikamrul-Banpara Road
chainage	14.798
width	21.9
constructionYear	2001
spans	4
zone	Rajshahi
circle	Pabna
division	Sirajganj
sub-division	Sirajgonj-1
lat	24.379722222222224
lon	89.41250000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101604&vRoadID=35&vSurveyYear=2004&vSubdivID=312
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101604&vRoadID=35&vSurveyYear=2004&vSubdivID=312
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101604&vRoadID=35&vSurveyYear=2004&vSubdivID=312
