road	N507
km	25.641
type	PC Girder Bridge
lrpName	LRP026b
name	10 No. Atrai Bridge
length	149.82
condition	B
structureNr	120121
est cost	1.89
roadName	Hatikamrul-Banpara Road
chainage	25.641
width	
constructionYear	
spans	
zone	Rajshahi
circle	Pabna
division	Sirajganj
sub-division	Sirajgonj-1
lat	24.3510278 
lon	89.3141667 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120121&vRoadID=35&vSurveyYear=2013&vSubdivID=312
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120121&vRoadID=35&vSurveyYear=2013&vSubdivID=312
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120121&vRoadID=35&vSurveyYear=2013&vSubdivID=312
