,bridge_id,number_of_vehicles,delay_time,Part_of_road
0,482,2004.0,134678.4682489327,"N1, LRP184a - LRP260c"
1,2271,5495.0,82577.28646602276,"N2, LRP117b - LRP146b"
2,2189,5459.0,81700.07812056252,"N2, LRP117b - LRP146b"
3,513,3176.0,47993.62606627085,"N1, LRP260c - LRP293a"
4,938,666.0,44908.72432248542,"N1, LRP293a - LRPE"
5,904,661.0,44387.868283689524,"N1, LRP293a - LRPE"
6,1020,689.0,25816.99503833845,"N1, LRP293a - LRPE"
7,1114,685.0,25466.827449656103,"N1, LRP293a - LRPE"
8,790,670.0,25357.095605792016,"N1, LRP293a - LRPE"
9,1076,668.0,25192.74493314881,"N1, LRP293a - LRPE"
10,990,667.0,24983.799770856895,"N1, LRP293a - LRPE"
11,1098,665.0,24715.054694334547,"N1, LRP293a - LRPE"
12,1184,641.0,24547.415326808416,"N1, LRP293a - LRPE"
13,868,660.0,24526.08273968182,"N1, LRP293a - LRPE"
14,852,658.0,24398.2128791629,"N1, LRP293a - LRPE"
15,962,636.0,24242.522882962552,"N1, LRP293a - LRPE"
16,880,638.0,23535.257052410427,"N1, LRP293a - LRPE"
17,2659,1400.0,20806.56581925491,"N2, LRP191b - LRP228c"
18,902,703.0,10604.515461092124,"N1, LRP293a - LRPE"
19,946,704.0,10482.280653024914,"N1, LRP293a - LRPE"
20,1092,693.0,10356.94345031003,"N1, LRP293a - LRPE"
21,844,677.0,10203.998294767789,"N1, LRP293a - LRPE"
22,1106,675.0,9990.958365000506,"N1, LRP293a - LRPE"
23,1096,655.0,9857.157495279384,"N1, LRP293a - LRPE"
24,838,654.0,9771.898194502104,"N1, LRP293a - LRPE"
25,1014,631.0,9433.473668909031,"N1, LRP293a - LRPE"
26,2587,1409.0,3026.8112267526635,"N2, LRP191b - LRP228c"
