,bridge_id,number_of_vehicles,delay_time,Part_of_road
0,2189,5470.0,82296.51019465772,"N2, LRP117b - LRP146b"
1,904,595.0,39429.20330317666,"N1, LRP293a - LRPE"
2,852,675.0,25973.79636374549,"N1, LRP293a - LRPE"
3,868,672.0,24768.91011486946,"N1, LRP293a - LRPE"
4,982,652.0,24463.777338351712,"N1, LRP293a - LRPE"
5,2420,1598.0,24189.30511142952,"N2, LRP146b - LRP191b"
6,1098,586.0,21391.704580166326,"N1, LRP293a - LRPE"
7,1014,662.0,9913.202585732764,"N1, LRP293a - LRPE"
8,844,665.0,9905.128662139512,"N1, LRP293a - LRPE"
9,964,663.0,9834.256797388103,"N1, LRP293a - LRPE"
10,1156,658.0,9768.91598373648,"N1, LRP293a - LRPE"
11,1092,635.0,9452.431333065988,"N1, LRP293a - LRPE"
12,1106,583.0,8806.326797711086,"N1, LRP293a - LRPE"
