,bridge_id,number_of_vehicles,delay_time,Part_of_road
0,37,7189.0,485062.0649431492,"N1, LRP009a - LRP084a"
1,17,7197.0,484337.7267365001,"N1, LRP009a - LRP084a"
2,39,7171.0,483648.0813120793,"N1, LRP009a - LRP084a"
3,55,7124.0,481351.32243870327,"N1, LRP009a - LRP084a"
4,81,7065.0,477215.7248182508,"N1, LRP009a - LRP084a"
5,101,7058.0,476888.11654472887,"N1, LRP009a - LRP084a"
6,99,7062.0,476632.3731193503,"N1, LRP009a - LRP084a"
7,107,7055.0,476623.9626284082,"N1, LRP009a - LRP084a"
8,97,7045.0,476163.9013847737,"N1, LRP009a - LRP084a"
9,63,7058.0,475533.8263006542,"N1, LRP009a - LRP084a"
10,1594,5598.0,379036.7408628445,"N105, LRP012a - LRP048"
11,1650,5550.0,375804.53878150566,"N105, LRP012a - LRP048"
12,2213,5494.0,372254.807971273,"N2, LRP117b - LRP146b"
13,2289,5521.0,371924.8519942437,"N2, LRP117b - LRP146b"
14,21,7190.0,268952.64814874984,"N1, LRP009a - LRP084a"
15,31,7124.0,267625.2325337267,"N1, LRP009a - LRP084a"
16,85,6978.0,260735.412982846,"N1, LRP009a - LRP084a"
17,232,6824.0,256255.3750940276,"N1, LRP084a - LRP184a"
18,158,6852.0,256202.2927179688,"N1, LRP084a - LRP184a"
19,136,6844.0,255565.8473703829,"N1, LRP084a - LRP184a"
20,2155,3290.0,222051.80576730656,"N2, LRP086a - LRP117b"
21,2009,3203.0,217718.6099256494,"N2, LRP012a - LRP086a"
22,1915,3225.0,217594.4805339516,"N2, LRP012a - LRP086a"
23,2147,3209.0,215946.7606304736,"N2, LRP086a - LRP117b"
24,1981,3200.0,215616.0516553617,"N2, LRP012a - LRP086a"
25,1961,3177.0,215099.43602240356,"N2, LRP012a - LRP086a"
26,2005,3179.0,214917.09955140183,"N2, LRP012a - LRP086a"
27,2093,3166.0,214538.05321571612,"N2, LRP012a - LRP086a"
28,1927,3178.0,214216.7544793517,"N2, LRP012a - LRP086a"
29,2159,3168.0,213300.0256417775,"N2, LRP086a - LRP117b"
30,2133,3157.0,212724.74929719945,"N2, LRP086a - LRP117b"
31,525,3185.0,212478.36636623292,"N1, LRP260c - LRP293a"
32,2073,3150.0,212459.17739086747,"N2, LRP012a - LRP086a"
33,2077,3147.0,212193.9864199065,"N2, LRP012a - LRP086a"
34,2079,3126.0,211475.9510748934,"N2, LRP012a - LRP086a"
35,1967,3116.0,210946.7723601141,"N2, LRP012a - LRP086a"
36,1610,5540.0,208953.96534967687,"N105, LRP012a - LRP048"
37,1616,5538.0,207417.63577529456,"N105, LRP012a - LRP048"
38,547,3072.0,206976.26799827363,"N1, LRP260c - LRP293a"
39,537,3056.0,205471.6626346197,"N1, LRP260c - LRP293a"
40,2696,2428.0,163558.6981998719,"N2, LRP231b - LRP239a"
41,2708,2396.0,161197.10873651438,"N2, LRP231b - LRP239a"
42,2794,2194.0,148170.55379610843,"N2, LRP239a - LRPE"
43,2758,2194.0,148165.17123245407,"N2, LRP239a - LRPE"
44,1318,2206.0,148152.6949361017,"N102, LRPS - LRPE"
45,2798,2187.0,147793.7466114625,"N2, LRP239a - LRPE"
46,2772,2177.0,145686.72711989435,"N2, LRP239a - LRPE"
47,2776,2139.0,145040.98053014255,"N2, LRP239a - LRPE"
48,1416,2140.0,143966.94274067075,"N102, LRPS - LRPE"
49,1398,2137.0,143255.39614697633,"N102, LRPS - LRPE"
50,1450,2108.0,142389.37404638794,"N102, LRPS - LRPE"
51,278,2040.0,138017.75530742077,"N1, LRP084a - LRP184a"
52,386,2032.0,136466.009867795,"N1, LRP184a - LRP260c"
53,424,2008.0,135065.15047894308,"N1, LRP184a - LRP260c"
54,366,1998.0,134760.59502054873,"N1, LRP184a - LRP260c"
55,476,1986.0,134312.38935542412,"N1, LRP184a - LRP260c"
56,482,1972.0,132386.6644968909,"N1, LRP184a - LRP260c"
57,1945,3290.0,123535.1073825136,"N2, LRP012a - LRP086a"
58,2139,3247.0,123528.28371315518,"N2, LRP086a - LRP117b"
59,2119,3292.0,123468.50337647049,"N2, LRP086a - LRP117b"
60,1995,3264.0,122496.41874653238,"N2, LRP012a - LRP086a"
61,2127,3234.0,120561.3643768008,"N2, LRP086a - LRP117b"
62,2023,3171.0,119945.15720613644,"N2, LRP012a - LRP086a"
63,2181,3171.0,119732.29644326256,"N2, LRP086a - LRP117b"
64,2135,3201.0,118716.14240710076,"N2, LRP086a - LRP117b"
65,2179,3175.0,118534.17317386754,"N2, LRP086a - LRP117b"
66,1985,3150.0,118042.28447803733,"N2, LRP012a - LRP086a"
67,1955,3146.0,117766.99650802536,"N2, LRP012a - LRP086a"
68,2043,3148.0,116541.7994337462,"N2, LRP012a - LRP086a"
69,2053,3118.0,116068.54008873146,"N2, LRP012a - LRP086a"
70,2388,1655.0,111921.6809996877,"N2, LRP146b - LRP191b"
71,3266,1626.0,110001.10651466475,"N210, LRPS - LRPE"
72,2582,1617.0,109874.80874140262,"N2, LRP146b - LRP191b"
73,3274,1601.0,109133.67529940284,"N210, LRPS - LRPE"
74,15,7198.0,108189.86076761832,"N1, LRP009a - LRP084a"
75,2480,1598.0,108141.45088370456,"N2, LRP146b - LRP191b"
76,2468,1600.0,107790.6836803676,"N2, LRP146b - LRP191b"
77,51,7167.0,107788.70185122744,"N1, LRP009a - LRP084a"
78,11,7198.0,107660.74247710413,"N1, LRP009a - LRP084a"
79,2482,1581.0,107575.46727071064,"N2, LRP146b - LRP191b"
80,49,7146.0,107202.99518443467,"N1, LRP009a - LRP084a"
81,2532,1574.0,106797.16915533112,"N2, LRP146b - LRP191b"
82,19,7130.0,106766.61496976904,"N1, LRP009a - LRP084a"
83,2520,1572.0,106554.02846424618,"N2, LRP146b - LRP191b"
84,2574,1578.0,106163.30641125364,"N2, LRP146b - LRP191b"
85,73,7079.0,105986.29043416116,"N1, LRP009a - LRP084a"
86,2492,1562.0,105560.98295118456,"N2, LRP146b - LRP191b"
87,2510,1570.0,105507.97722588258,"N2, LRP146b - LRP191b"
88,121,7018.0,105333.56663639763,"N1, LRP009a - LRP084a"
89,2568,1544.0,105259.54171194864,"N2, LRP146b - LRP191b"
90,154,6884.0,103372.91169317586,"N1, LRP084a - LRP184a"
91,190,6849.0,102552.9286068062,"N1, LRP084a - LRP184a"
92,174,6850.0,102418.49024918694,"N1, LRP084a - LRP184a"
93,198,6853.0,102385.3863931104,"N1, LRP084a - LRP184a"
94,236,6784.0,101773.93077519092,"N1, LRP084a - LRP184a"
95,2690,1385.0,93900.07807176396,"N2, LRP228c - LRP231b"
96,2671,1345.0,91402.48853366416,"N2, LRP191b - LRP228c"
97,2710,2431.0,91088.70729481806,"N2, LRP231b - LRP239a"
98,2591,1347.0,90795.18771061188,"N2, LRP191b - LRP228c"
99,2706,2370.0,89355.74224733814,"N2, LRP231b - LRP239a"
100,2679,1305.0,88050.2878216391,"N2, LRP191b - LRP228c"
101,1547,1248.0,85109.05687467883,"N104, LRP001a - LRPE"
102,1509,1234.0,83624.81947264852,"N104, LRP001a - LRPE"
103,1551,1237.0,83460.15065431307,"N104, LRP001a - LRPE"
104,2271,5534.0,83183.26092709885,"N2, LRP117b - LRP146b"
105,1483,1224.0,82835.19867315522,"N104, LRP001a - LRPE"
106,1364,2190.0,82680.05265826551,"N102, LRPS - LRPE"
107,2251,5501.0,82524.91301071501,"N2, LRP117b - LRP146b"
108,2205,5503.0,82482.2566587115,"N2, LRP117b - LRP146b"
109,2261,5493.0,82338.29973221835,"N2, LRP117b - LRP146b"
110,2241,5494.0,82285.944840262,"N2, LRP117b - LRP146b"
111,2255,5477.0,82237.77019401734,"N2, LRP117b - LRP146b"
112,2790,2169.0,82209.57363160797,"N2, LRP239a - LRPE"
113,2193,5491.0,82199.54799029109,"N2, LRP117b - LRP146b"
114,2245,5434.0,81754.77062811362,"N2, LRP117b - LRP146b"
115,2189,5439.0,81680.7459274013,"N2, LRP117b - LRP146b"
116,2247,5440.0,81638.71373674684,"N2, LRP117b - LRP146b"
117,1356,2173.0,81176.35647903393,"N102, LRPS - LRPE"
118,2808,2172.0,81014.90516024242,"N2, LRP239a - LRPE"
119,2784,2147.0,80590.90832879383,"N2, LRP239a - LRPE"
120,2301,5387.0,80434.83027542387,"N2, LRP117b - LRP146b"
121,2279,5334.0,80057.97272429845,"N2, LRP117b - LRP146b"
122,2780,2114.0,78972.29192210823,"N2, LRP239a - LRPE"
123,488,1965.0,74048.66691325026,"N1, LRP184a - LRP260c"
124,3219,1087.0,72809.41337870827,"N208, LRPS - LRP054a"
125,3223,1034.0,69833.95604401232,"N208, LRPS - LRP054a"
126,3201,1028.0,69765.89112770245,"N208, LRPS - LRP054a"
127,3221,1033.0,69759.96577586648,"N208, LRPS - LRP054a"
128,3139,1026.0,69165.79394173616,"N208, LRPS - LRP054a"
129,3075,1039.0,68953.56627257074,"N208, LRPS - LRP054a"
130,3131,1020.0,68631.05928771147,"N208, LRPS - LRP054a"
131,3129,1007.0,68542.96645482589,"N208, LRPS - LRP054a"
132,3225,1010.0,68513.271824794,"N208, LRPS - LRP054a"
133,3197,999.0,67277.65889095108,"N208, LRPS - LRP054a"
134,3179,999.0,67084.25250535179,"N208, LRPS - LRP054a"
135,3171,988.0,66966.21725105183,"N208, LRPS - LRP054a"
136,3181,990.0,66283.10602536377,"N208, LRPS - LRP054a"
137,3147,976.0,66277.71191394565,"N208, LRPS - LRP054a"
138,3213,954.0,64764.9571254125,"N208, LRPS - LRP054a"
139,2538,1637.0,61238.12017391612,"N2, LRP146b - LRP191b"
140,2436,1610.0,60625.97536959389,"N2, LRP146b - LRP191b"
141,2524,1617.0,60446.98709247838,"N2, LRP146b - LRP191b"
142,2366,1635.0,60432.08496580073,"N2, LRP146b - LRP191b"
143,2406,1622.0,60099.37912853192,"N2, LRP146b - LRP191b"
144,2346,1584.0,59371.76293600903,"N2, LRP146b - LRP191b"
145,2536,1584.0,59274.5760859367,"N2, LRP146b - LRP191b"
146,2386,1579.0,59271.18212721299,"N2, LRP146b - LRP191b"
147,2974,836.0,56894.06414324772,"N207, LRPS - LRPE"
148,2954,841.0,56810.433418301145,"N207, LRPS - LRPE"
149,2980,832.0,56189.00356930498,"N207, LRPS - LRPE"
150,2936,820.0,55782.35124344435,"N207, LRPS - LRPE"
151,3058,822.0,55451.49818833964,"N207, LRPS - LRPE"
152,2924,808.0,55240.6217506148,"N207, LRPS - LRPE"
153,2964,812.0,54823.77562470138,"N207, LRPS - LRPE"
154,2926,797.0,54782.99775874233,"N207, LRPS - LRPE"
155,2928,788.0,52890.54669054993,"N207, LRPS - LRPE"
156,3016,784.0,52467.854965315346,"N207, LRPS - LRPE"
157,1539,1298.0,49427.36133273654,"N104, LRP001a - LRPE"
158,1997,3210.0,48445.79850405102,"N2, LRP012a - LRP086a"
159,2025,3223.0,48305.05862543027,"N2, LRP012a - LRP086a"
160,1963,3199.0,48238.33202131916,"N2, LRP012a - LRP086a"
161,507,3214.0,48188.46235815264,"N1, LRP260c - LRP293a"
162,2007,3182.0,47858.17312683619,"N2, LRP012a - LRP086a"
163,1925,3194.0,47808.54948101342,"N2, LRP012a - LRP086a"
164,2027,3175.0,47760.51847091876,"N2, LRP012a - LRP086a"
165,2017,3176.0,47446.54483469338,"N2, LRP012a - LRP086a"
166,2001,3156.0,47261.056861587196,"N2, LRP012a - LRP086a"
