road	Z2016
km	0.221
type	Baily with Steel Deck
lrpName	LRPSb
name	RASHIOPUR
length	27.4
condition	A
structureNr	106923
est cost	0
roadName	Rashidpur-Biswanath-Rampasha-Lama Kazi Road
chainage	0.221
width	3.5
constructionYear	1992
spans	1
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Biswanath
lat	24.81063888888889
lon	91.78994444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106923&vRoadID=375&vSurveyYear=2004&vSubdivID=558
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106923&vRoadID=375&vSurveyYear=2004&vSubdivID=558
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106923&vRoadID=375&vSurveyYear=2004&vSubdivID=558
