road	R170
km	11.571
type	RCC Girder Bridge
lrpName	LRP011c
name	Dumuria Bridge
length	9.8
condition	C
structureNr	121151
est cost	484
roadName	Patiya-Anowara-Banshkhali-Toitong-Pekua-Badarkhali-Chokoria (Eidmoni) Road
chainage	11.571
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Patiya
lat	22.2329716 
lon	91.9230549 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121151&vRoadID=86&vSurveyYear=2013&vSubdivID=281
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121151&vRoadID=86&vSurveyYear=2013&vSubdivID=281
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121151&vRoadID=86&vSurveyYear=2013&vSubdivID=281
