road	R557
km	2.974
type	Box Culvert
lrpName	LRP002e
name	.
length	1.38
condition	A
structureNr	109534
est cost	0
roadName	Madhypara-Badarganj Road
chainage	2.974
width	9.6
constructionYear	2001
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.583333333333332
lon	89.05944444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109534&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109534&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109534&vRoadID=132&vSurveyYear=2004&vSubdivID=288
