road	Z2811
km	13.88
type	Box Culvert
lrpName	LRP013j
name	.
length	1.8
condition	B
structureNr	117631
est cost	0.2
roadName	Dowarabazar-Sunamganj Road
chainage	13.88
width	8.6
constructionYear	1992
spans	1
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.075277777777778
lon	91.43583333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117631&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117631&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117631&vRoadID=419&vSurveyYear=2006&vSubdivID=557
