road	Z2811
km	14.11
type	Box Culvert
lrpName	LRP013k
name	.
length	7
condition	A
structureNr	117632
est cost	0
roadName	Dowarabazar-Sunamganj Road
chainage	14.11
width	5.5
constructionYear	1993
spans	2
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.07472222222222
lon	91.43361111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117632&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117632&vRoadID=419&vSurveyYear=2006&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117632&vRoadID=419&vSurveyYear=2006&vSubdivID=557
