road	Z2804
km	0.89
type	Box Culvert
lrpName	LRPSa
name	.
length	3.5
condition	A
structureNr	117385
est cost	0
roadName	Sunamganj-Kanchirghat-Bishambarpur Road
chainage	0.89
width	7.6
constructionYear	2004
spans	1
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.06138888888889
lon	91.375
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117385&vRoadID=417&vSurveyYear=2006&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117385&vRoadID=417&vSurveyYear=2006&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117385&vRoadID=417&vSurveyYear=2006&vSubdivID=557
