road	R161
km	41.157
type	Baily with Steel Deck
lrpName	LRP041c
name	DACK BALA BAILEY WITH STEEL DECK
length	18.6
condition	C
structureNr	101358
est cost	1
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	41.157
width	3.6
constructionYear	1981
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.313305555555555
lon	92.15127777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101358&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101358&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101358&vRoadID=82&vSurveyYear=2004&vSubdivID=285
