road	R161
km	59.577
type	Box Culvert
lrpName	LRP059c
name	DOLPARA CAMP
length	3
condition	C
structureNr	112546
est cost	0.98
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	59.577
width	9.2
constructionYear	1996
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.20336111111111
lon	92.21666666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112546&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112546&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112546&vRoadID=82&vSurveyYear=2004&vSubdivID=285
