road	R161
km	42.87
type	Baily with Steel Deck
lrpName	LRP043d
name	KABRO PARA BAILEY WITH STEEL DECK
length	12.4
condition	C
structureNr	101367
est cost	0.8
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	42.87
width	3.55
constructionYear	1983
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.303222222222225
lon	92.15913888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101367&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101367&vRoadID=82&vSurveyYear=2004&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101367&vRoadID=82&vSurveyYear=2004&vSubdivID=285
