road	R161
km	41.517
type	Baily with Steel Deck
lrpName	LRP041e
name	Dakbanglo Bridge-2
length	36.4
condition	D
structureNr	121630
est cost	407
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	41.517
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.3105 
lon	92.1530833 
estimated Location	road_chainage
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121630&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121630&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121630&vRoadID=82&vSurveyYear=2013&vSubdivID=285
