road	Z1004
km	11.197
type	Baily with Steel Deck
lrpName	LRP010f
name	SUNGULA PARA BAILEY WITH STEEL DECK
length	9.2
condition	C
structureNr	113319
est cost	0.5
roadName	Janatabaza-Gorokghata Road
chainage	11.197
width	3.45
constructionYear	1995
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.637527777777777
lon	91.92194444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113319&vRoadID=332&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113319&vRoadID=332&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113319&vRoadID=332&vSurveyYear=2004&vSubdivID=282
