road	Z1004
km	12.322
type	Baily with Steel Deck
lrpName	LRP011f
name	HONAK BAILY WITH STEEL DECK
length	9.5
condition	D
structureNr	113352
est cost	0.2
roadName	Janatabaza-Gorokghata Road
chainage	12.322
width	3.45
constructionYear	1991
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.62811111111111
lon	91.92291666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113352&vRoadID=332&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113352&vRoadID=332&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113352&vRoadID=332&vSurveyYear=2004&vSubdivID=282
