road	Z8915
km	0.25
type	Box Culvert
lrpName	LRPSa
name	.
length	3.4
condition	A
structureNr	116823
est cost	0
roadName	Bagmara-Banglabazar-Daulatkhan Road
chainage	0.25
width	6
constructionYear	2000
spans	2
zone	Barisal
circle	Barisal
division	Bhola
sub-division	Bhola
lat	22.589444444444442
lon	90.62166666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=116823&vRoadID=378&vSurveyYear=2006&vSubdivID=336
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=116823&vRoadID=378&vSurveyYear=2006&vSubdivID=336
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=116823&vRoadID=378&vSurveyYear=2006&vSubdivID=336
