road	N603
km	0.158
type	Box Culvert
lrpName	LRPSa
name	.
length	6.69
condition	A
structureNr	102074
est cost	0
roadName	Rajshahi Town By-Pass Road
chainage	0.158
width	11.92
constructionYear	2002
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-2
lat	24.36722222222222
lon	88.72527777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102074&vRoadID=48&vSurveyYear=2004&vSubdivID=304
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102074&vRoadID=48&vSurveyYear=2004&vSubdivID=304
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102074&vRoadID=48&vSurveyYear=2004&vSubdivID=304
