road	N603
km	0.606
type	RCC Girder Bridge
lrpName	LRPSc
name	Belpukur Bridge
length	37.3
condition	B
structureNr	119372
est cost	0.01
roadName	Rajshahi Town By-Pass Road
chainage	0.606
width	
constructionYear	
spans	
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-2
lat	24.3705271 
lon	88.7226938 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119372&vRoadID=48&vSurveyYear=2013&vSubdivID=304
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119372&vRoadID=48&vSurveyYear=2013&vSubdivID=304
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119372&vRoadID=48&vSurveyYear=2013&vSubdivID=304
