road	N104
km	0.417
type	Slab Culvert
lrpName	LRPSb
name	S.S.SK ROAD SLAB CULVERT
length	2.7
condition	B
structureNr	101820
est cost	0.93
roadName	Feni-Noakhali Road
chainage	0.417
width	7.8
constructionYear	1964
spans	1
zone	Comilla
circle	Noakhali
division	Feni
sub-division	Feni-1
lat	23.009333333333334
lon	91.39522222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101820&vRoadID=4&vSurveyYear=2004&vSubdivID=545
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101820&vRoadID=4&vSurveyYear=2004&vSubdivID=545
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101820&vRoadID=4&vSurveyYear=2004&vSubdivID=545
