road	Z4022
km	0.956
type	Slab Culvert
lrpName	LRPSd
name	SAFIMA BAZAR SLAB CULVERT
length	1
condition	A
structureNr	105710
est cost	0
roadName	Jamalpur-Madarganj Road
chainage	0.956
width	7.3
constructionYear	2000
spans	1
zone	Mymensingh
circle	Jamalpur
division	Jamalpur
sub-division	Jamalpur-1
lat	24.921583333333334
lon	89.94336111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105710&vRoadID=283&vSurveyYear=2004&vSubdivID=524
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105710&vRoadID=283&vSurveyYear=2004&vSubdivID=524
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105710&vRoadID=283&vSurveyYear=2004&vSubdivID=524
