road	R504
km	19.651
type	RCC Girder Bridge
lrpName	LRP019a
name	Garadia Bridge
length	33.67
condition	D
structureNr	120130
est cost	374
roadName	Hemayetpur-Singair-Manikganj Road
chainage	19.651
width	4
constructionYear	1973
spans	4
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Manikganj
lat	23.81561111111111
lon	90.08822222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120130&vRoadID=121&vSurveyYear=2013&vSubdivID=515
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120130&vRoadID=121&vSurveyYear=2013&vSubdivID=515
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120130&vRoadID=121&vSurveyYear=2013&vSubdivID=515
