road	R172
km	9.803
type	Slab Culvert
lrpName	LRP009a
name	POKKALI-2
length	1
condition	A
structureNr	114589
est cost	0
roadName	Chokoria-Baderkhali Road
chainage	9.803
width	9.5
constructionYear	1990
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Chakoria
lat	21.752027777777776
lon	91.99041666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114589&vRoadID=88&vSurveyYear=2004&vSubdivID=284
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114589&vRoadID=88&vSurveyYear=2004&vSubdivID=284
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114589&vRoadID=88&vSurveyYear=2004&vSubdivID=284
