road	Z2806
km	9.96
type	Box Culvert
lrpName	LRP009k
name	.
length	1.5
condition	A
structureNr	118621
est cost	0
roadName	Niamatpur-Tahirpur Road
chainage	9.96
width	5.1
constructionYear	1998
spans	1
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.092777777777776
lon	91.23444444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118621&vRoadID=436&vSurveyYear=2006&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118621&vRoadID=436&vSurveyYear=2006&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118621&vRoadID=436&vSurveyYear=2006&vSubdivID=557
