road	Z2806
km	9.64
type	PC Girder Bridge
lrpName	LRP009g
name	Alipur Bridge
length	31
condition	A
structureNr	120368
est cost	0
roadName	Niamatpur-Tahirpur Road
chainage	9.64
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sunamganj
sub-division	Sunamganj
lat	25.102503188
lon	91.225419312
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120368&vRoadID=436&vSurveyYear=2013&vSubdivID=557
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120368&vRoadID=436&vSurveyYear=2013&vSubdivID=557
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120368&vRoadID=436&vSurveyYear=2013&vSubdivID=557
