road	N110
km	0.824
type	Box Culvert
lrpName	LRPSb
name	JANAGONA B0X
length	10.8
condition	A
structureNr	105002
est cost	0
roadName	Link Road(at N1)-Cox`s Bazar (Laboni More) Road
chainage	0.824
width	11.6
constructionYear	1987
spans	5
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.42463888888889
lon	92.01552777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105002&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105002&vRoadID=10&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105002&vRoadID=10&vSurveyYear=2004&vSubdivID=282
